Seed,MAE,Param
50,-0.18583892570041294,"{'hidden_layer_size_0': 96, 'hidden_layer_size_1': 13, 'hidden_layer_size_2': 30}"
51,-0.3210299432366728,"{'hidden_layer_size_0': 85, 'hidden_layer_size_1': 29, 'hidden_layer_size_2': 57}"
52,-0.3857282543852769,"{'hidden_layer_size_0': 21, 'hidden_layer_size_1': 42, 'hidden_layer_size_2': 69}"
53,-0.3598006124734644,"{'hidden_layer_size_0': 42, 'hidden_layer_size_1': 47, 'hidden_layer_size_2': 3}"
54,-0.27864470928556007,"{'hidden_layer_size_0': 40, 'hidden_layer_size_1': 92, 'hidden_layer_size_2': 33}"
55,-0.34468836126255253,"{'hidden_layer_size_0': 56, 'hidden_layer_size_1': 68, 'hidden_layer_size_2': 100}"
56,-0.40551648819076014,"{'hidden_layer_size_0': 52, 'hidden_layer_size_1': 81, 'hidden_layer_size_2': 2}"
57,-0.29715906971868433,"{'hidden_layer_size_0': 78, 'hidden_layer_size_1': 7, 'hidden_layer_size_2': 2}"
58,-0.37862157161155563,"{'hidden_layer_size_0': 66, 'hidden_layer_size_1': 63, 'hidden_layer_size_2': 78}"
59,-0.24025959713960898,"{'hidden_layer_size_0': 68, 'hidden_layer_size_1': 58, 'hidden_layer_size_2': 35}"
60,-0.3537130107012407,"{'hidden_layer_size_0': 51, 'hidden_layer_size_1': 7, 'hidden_layer_size_2': 27}"
61,-0.4208916318837044,"{'hidden_layer_size_0': 88, 'hidden_layer_size_1': 68, 'hidden_layer_size_2': 44}"
62,-0.39058927030946067,"{'hidden_layer_size_0': 55, 'hidden_layer_size_1': 5, 'hidden_layer_size_2': 16}"
63,-0.33895437295799424,"{'hidden_layer_size_0': 100, 'hidden_layer_size_1': 99, 'hidden_layer_size_2': 62}"
64,-0.3538479054010568,"{'hidden_layer_size_0': 72, 'hidden_layer_size_1': 24, 'hidden_layer_size_2': 54}"
65,-0.2469454875876842,"{'hidden_layer_size_0': 4, 'hidden_layer_size_1': 41, 'hidden_layer_size_2': 95}"
66,-0.3514663332485387,"{'hidden_layer_size_0': 42, 'hidden_layer_size_1': 41, 'hidden_layer_size_2': 52}"
67,-0.33222622515828837,"{'hidden_layer_size_0': 32, 'hidden_layer_size_1': 67, 'hidden_layer_size_2': 26}"
68,-0.4264473965479455,"{'hidden_layer_size_0': 29, 'hidden_layer_size_1': 33, 'hidden_layer_size_2': 72}"
69,-0.2839325491469944,"{'hidden_layer_size_0': 14, 'hidden_layer_size_1': 36, 'hidden_layer_size_2': 11}"
70,-0.37226690459488676,"{'hidden_layer_size_0': 38, 'hidden_layer_size_1': 8, 'hidden_layer_size_2': 18}"
71,-0.2635712425996507,"{'hidden_layer_size_0': 62, 'hidden_layer_size_1': 81, 'hidden_layer_size_2': 18}"
72,-0.3319520844966726,"{'hidden_layer_size_0': 37, 'hidden_layer_size_1': 43, 'hidden_layer_size_2': 7}"
73,-0.32783293499590827,"{'hidden_layer_size_0': 78, 'hidden_layer_size_1': 87, 'hidden_layer_size_2': 23}"
74,-0.36088797016820495,"{'hidden_layer_size_0': 28, 'hidden_layer_size_1': 59, 'hidden_layer_size_2': 9}"
75,-0.2336288303114077,"{'hidden_layer_size_0': 61, 'hidden_layer_size_1': 46, 'hidden_layer_size_2': 72}"
76,-0.30452636430548474,"{'hidden_layer_size_0': 55, 'hidden_layer_size_1': 14, 'hidden_layer_size_2': 46}"
77,-0.4019029126477002,"{'hidden_layer_size_0': 77, 'hidden_layer_size_1': 12, 'hidden_layer_size_2': 46}"
78,-0.36558114979522005,"{'hidden_layer_size_0': 77, 'hidden_layer_size_1': 71, 'hidden_layer_size_2': 92}"
79,-0.3515499704693963,"{'hidden_layer_size_0': 89, 'hidden_layer_size_1': 65, 'hidden_layer_size_2': 14}"
80,-0.3500633219375969,"{'hidden_layer_size_0': 55, 'hidden_layer_size_1': 32, 'hidden_layer_size_2': 49}"
81,-0.30302859346499444,"{'hidden_layer_size_0': 9, 'hidden_layer_size_1': 55, 'hidden_layer_size_2': 31}"
82,-0.3174882718134725,"{'hidden_layer_size_0': 29, 'hidden_layer_size_1': 67, 'hidden_layer_size_2': 51}"
83,-0.31577737236048053,"{'hidden_layer_size_0': 52, 'hidden_layer_size_1': 32, 'hidden_layer_size_2': 6}"
84,-0.2343411146622334,"{'hidden_layer_size_0': 19, 'hidden_layer_size_1': 42, 'hidden_layer_size_2': 76}"
85,-0.36027041591732534,"{'hidden_layer_size_0': 64, 'hidden_layer_size_1': 36, 'hidden_layer_size_2': 50}"
86,-0.24965677622260474,"{'hidden_layer_size_0': 92, 'hidden_layer_size_1': 25, 'hidden_layer_size_2': 87}"
87,-0.3273071241470672,"{'hidden_layer_size_0': 66, 'hidden_layer_size_1': 48, 'hidden_layer_size_2': 67}"
88,-0.26671994298721236,"{'hidden_layer_size_0': 66, 'hidden_layer_size_1': 19, 'hidden_layer_size_2': 2}"
89,-0.3064073611485184,"{'hidden_layer_size_0': 58, 'hidden_layer_size_1': 59, 'hidden_layer_size_2': 16}"
90,-0.31311356461677964,"{'hidden_layer_size_0': 61, 'hidden_layer_size_1': 57, 'hidden_layer_size_2': 58}"
91,-0.4578127642253743,"{'hidden_layer_size_0': 27, 'hidden_layer_size_1': 65, 'hidden_layer_size_2': 35}"
92,-0.31238336663990984,"{'hidden_layer_size_0': 25, 'hidden_layer_size_1': 28, 'hidden_layer_size_2': 35}"
93,-0.2680459315877194,"{'hidden_layer_size_0': 46, 'hidden_layer_size_1': 96, 'hidden_layer_size_2': 6}"
94,-0.25375798035593766,"{'hidden_layer_size_0': 37, 'hidden_layer_size_1': 28, 'hidden_layer_size_2': 5}"
95,-0.32067790589541023,"{'hidden_layer_size_0': 14, 'hidden_layer_size_1': 61, 'hidden_layer_size_2': 69}"
96,-0.4171049895631297,"{'hidden_layer_size_0': 21, 'hidden_layer_size_1': 54, 'hidden_layer_size_2': 24}"
97,-0.40681948633896126,"{'hidden_layer_size_0': 78, 'hidden_layer_size_1': 24, 'hidden_layer_size_2': 54}"
98,-0.39400515046874596,"{'hidden_layer_size_0': 51, 'hidden_layer_size_1': 51, 'hidden_layer_size_2': 68}"
99,-0.3605574942710166,"{'hidden_layer_size_0': 84, 'hidden_layer_size_1': 93, 'hidden_layer_size_2': 93}"
100,-0.20974350387875307,"{'hidden_layer_size_0': 30, 'hidden_layer_size_1': 54, 'hidden_layer_size_2': 42}"
101,-0.3721862612239967,"{'hidden_layer_size_0': 94, 'hidden_layer_size_1': 74, 'hidden_layer_size_2': 45}"
102,-0.4136967384710024,"{'hidden_layer_size_0': 42, 'hidden_layer_size_1': 77, 'hidden_layer_size_2': 13}"
103,-0.33719079596268664,"{'hidden_layer_size_0': 93, 'hidden_layer_size_1': 31, 'hidden_layer_size_2': 54}"
104,-0.34963212905955565,"{'hidden_layer_size_0': 98, 'hidden_layer_size_1': 80, 'hidden_layer_size_2': 100}"
105,-0.30688023489649563,"{'hidden_layer_size_0': 95, 'hidden_layer_size_1': 56, 'hidden_layer_size_2': 64}"
106,-0.2922875452028654,"{'hidden_layer_size_0': 49, 'hidden_layer_size_1': 20, 'hidden_layer_size_2': 40}"
107,-0.25725413064153424,"{'hidden_layer_size_0': 73, 'hidden_layer_size_1': 14, 'hidden_layer_size_2': 20}"
108,-0.4413721633861417,"{'hidden_layer_size_0': 64, 'hidden_layer_size_1': 37, 'hidden_layer_size_2': 27}"
109,-0.2849963990186726,"{'hidden_layer_size_0': 37, 'hidden_layer_size_1': 71, 'hidden_layer_size_2': 21}"
110,-0.24364115206582837,"{'hidden_layer_size_0': 56, 'hidden_layer_size_1': 93, 'hidden_layer_size_2': 27}"
111,-0.3251439614256536,"{'hidden_layer_size_0': 48, 'hidden_layer_size_1': 52, 'hidden_layer_size_2': 51}"
112,-0.32495462318500223,"{'hidden_layer_size_0': 16, 'hidden_layer_size_1': 89, 'hidden_layer_size_2': 20}"
113,-0.36954799131169136,"{'hidden_layer_size_0': 87, 'hidden_layer_size_1': 87, 'hidden_layer_size_2': 63}"
114,-0.2712052519015963,"{'hidden_layer_size_0': 92, 'hidden_layer_size_1': 2, 'hidden_layer_size_2': 15}"
115,-0.3364275959132468,"{'hidden_layer_size_0': 59, 'hidden_layer_size_1': 22, 'hidden_layer_size_2': 44}"
116,-0.39916245896710345,"{'hidden_layer_size_0': 85, 'hidden_layer_size_1': 98, 'hidden_layer_size_2': 43}"
117,-0.3521140311600296,"{'hidden_layer_size_0': 90, 'hidden_layer_size_1': 39, 'hidden_layer_size_2': 61}"
118,-0.4297113970052342,"{'hidden_layer_size_0': 62, 'hidden_layer_size_1': 100, 'hidden_layer_size_2': 48}"
119,-0.34257274748985334,"{'hidden_layer_size_0': 21, 'hidden_layer_size_1': 89, 'hidden_layer_size_2': 49}"
120,-0.41987727196945845,"{'hidden_layer_size_0': 22, 'hidden_layer_size_1': 73, 'hidden_layer_size_2': 30}"
121,-0.39593868614279104,"{'hidden_layer_size_0': 95, 'hidden_layer_size_1': 34, 'hidden_layer_size_2': 30}"
