Seed,MAE,Param
51,-0.48392030309909795,"{'C': 86.36160091113076, 'epsilon': 0.027951272315529206, 'gamma': 0.01548840364064895}"
52,-0.5239752549870396,"{'C': 247.78280739043836, 'epsilon': 0.009688861690384822, 'gamma': 0.008085716786520524}"
53,-0.38211125630104126,"{'C': 604.1481271826299, 'epsilon': 0.007962956896003192, 'gamma': 0.05880823271058539}"
54,-0.1492559225047554,"{'C': 60.24357714793745, 'epsilon': 0.0383298294231111, 'gamma': 0.003592822265438116}"
55,-0.4008619451392105,"{'C': 386.1178133766265, 'epsilon': 0.012662121261277312, 'gamma': 0.0028387065529289005}"
56,-0.6332849828125366,"{'C': 561.386663488188, 'epsilon': 0.026029999561980547, 'gamma': 0.010366311364539804}"
57,-0.5993474545971313,"{'C': 582.1711617870044, 'epsilon': 0.08222430746560015, 'gamma': 0.0016710813781312401}"
58,-0.4154750948868675,"{'C': 660.965362197141, 'epsilon': 0.007855828965648664, 'gamma': 0.004213583319986208}"
59,-0.4652843731187748,"{'C': 936.3270290049462, 'epsilon': 0.0011883638576222076, 'gamma': 0.0011513697472682245}"
60,-0.36386877294487774,"{'C': 503.44846287771026, 'epsilon': 0.005079736743250066, 'gamma': 0.00022881043226814757}"
61,-0.7119684320943322,"{'C': 635.8692704379881, 'epsilon': 0.052769963603656024, 'gamma': 0.0013735371272602078}"
62,-0.21812484090408768,"{'C': 59.47651683501847, 'epsilon': 0.002796839867878792, 'gamma': 0.06539429139351101}"
63,-0.48504941211526476,"{'C': 530.1531416164578, 'epsilon': 0.006380365995511978, 'gamma': 0.014281865078597663}"
64,-0.6116629283077526,"{'C': 16.75879644649125, 'epsilon': 0.0020568085173570737, 'gamma': 0.015644173382562285}"
65,-0.33516307398749123,"{'C': 962.3090921044554, 'epsilon': 0.013645202498889885, 'gamma': 0.0018794881850350508}"
66,-0.4572336366856711,"{'C': 954.1246215400881, 'epsilon': 0.0038915977959819528, 'gamma': 0.001028890742989544}"
67,-0.5341535830851806,"{'C': 636.8334192270912, 'epsilon': 0.002275119688670674, 'gamma': 0.0010747732065574636}"
68,-0.42038938070654674,"{'C': 301.9412025245108, 'epsilon': 0.09486711333523479, 'gamma': 0.008680448903127882}"
69,-0.2925089825309032,"{'C': 28.963991604898524, 'epsilon': 0.08333323339042159, 'gamma': 0.052190732979098764}"
70,-0.6488716050345054,"{'C': 33.29080870375795, 'epsilon': 0.09782383468811964, 'gamma': 0.07147698376904131}"
71,-0.5951166410366193,"{'C': 61.97871009964723, 'epsilon': 0.0062019568634765, 'gamma': 0.006503813260774384}"
72,-0.45888229224471877,"{'C': 64.34298550672207, 'epsilon': 0.023169412282999163, 'gamma': 0.0140113459992739}"
73,-0.21545824403743097,"{'C': 120.4901964638573, 'epsilon': 0.001437110997505813, 'gamma': 0.004493404377717521}"
74,-0.42926754922982013,"{'C': 36.394326720933144, 'epsilon': 0.008343362624523998, 'gamma': 0.013151747554783757}"
75,-0.5319196289935512,"{'C': 69.86360386313524, 'epsilon': 0.06169638023460255, 'gamma': 0.009276924023233107}"
76,-0.733025041592221,"{'C': 914.3689552311772, 'epsilon': 0.030674196374120482, 'gamma': 0.0011419245499329042}"
77,-0.6668357996115952,"{'C': 547.7292798380819, 'epsilon': 0.0051689095983569935, 'gamma': 0.00044133811569107065}"
78,-0.5847666641736975,"{'C': 481.30493967858314, 'epsilon': 0.011149663888531385, 'gamma': 0.002324597994319396}"
79,-0.45289573860405963,"{'C': 975.9008845090087, 'epsilon': 0.020835902419719193, 'gamma': 0.0012840657201488494}"
