0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,formula_pretty,material_id,Cohesive_energy,Quality_index
-0.464184364,-0.5942894,0.433001715,-0.863358668,-0.118621181,-0.318822173,1.368161593,1.28433608,0.262687535,-1.133138203,-0.057839897,0.024104926,0.939132755,0.263212875,-0.807876419,-0.087453196,0.545882743,0.32167737,0.013766256,-0.367992981,-0.248553849,-0.010079147,-0.598285862,0.91746911,0.275320554,4.355256422,0.440254588,-0.920917672,-0.436316676,0.356328239,0.629040042,-1.029680824,-0.349705216,-0.505047118,0.186750589,-0.263165879,0.459296444,0.053272396,-0.400196081,1.527121977,RuPt,mp-1120769,6.21072535,3.859895014
-0.491088816,-0.448174638,-0.262756523,-0.598732305,-0.344400997,-0.304852361,-0.748902434,1.505733362,0.964051553,0.307257029,0.123752966,-0.401211882,-1.790006282,-0.09746814,0.239683203,0.03978798,0.24956287,-0.064971132,0.770422452,-0.699666438,0.312637876,-0.717316458,0.075917991,0.540213885,0.171098659,-0.661822816,-0.28427101,-0.917604396,0.310744645,-0.677259851,0.110464565,0.133498187,0.410873542,0.554057778,-0.293886629,-0.12807868,0.709045474,0.20023255,-0.729683107,0.009756153,CoMo,mp-1006884,5.31,5.14
-0.451898445,-0.586992708,4.607731851,-0.986864327,-0.202447599,0.278369459,0.099371252,1.492634125,0.659183084,0.344684709,-0.034404074,-0.136721141,0.393565378,-0.278029315,-0.063595032,-0.123160977,-0.66917751,0.174892863,0.199568754,0.444445801,0.117406675,0.002801999,-1.05226035,1.130192159,0.742920697,-0.87740155,0.891477085,-0.961210902,-0.521150934,0.037989388,0.190631682,0.415594048,0.333597143,-1.215234363,0.053240346,-0.228131563,-1.228704757,-0.037869387,-0.648801592,-0.361458901,RePt,mp-1219500,6.94708435,6.722537223
-0.435038695,-0.451331801,-0.373769562,-0.593897153,-0.238785557,0.110416411,-0.779439873,1.721545099,0.953553488,0.347823896,0.071817065,-0.655546426,-2.644431231,-0.271406757,0.600098649,0.100908465,0.219922666,-0.115439653,0.74305453,-0.30593355,0.136175724,-0.826575122,0.328343449,0.644165173,0.399430541,-0.789631112,0.048591793,-0.820514849,0.188582147,-0.264718862,0.135509563,0.320987853,0.384743205,1.050681384,-0.324769618,-0.26881294,0.68398388,0.237104429,-1.160536906,-0.116017024,FeMo2,mp-1224941,5.807844367,6.15622917
-0.453067384,-0.586536494,4.600846805,-0.989200255,-0.265426272,0.276844152,0.097804953,1.491723263,0.665348569,0.340945217,-0.077988943,-0.131834103,0.407423517,-0.270332264,-0.092692157,-0.088738411,-0.657782262,0.212121162,0.185917269,0.42412242,0.138344197,-0.00820628,-1.049585654,1.123711011,0.73893179,-0.888478362,0.859054885,-0.902731618,-0.568832192,0.045081457,0.080059893,0.424171497,0.323602722,-1.258683799,0.191951105,-0.002066461,-1.237361756,-0.036373064,-0.621756785,-0.406033372,RePt,mp-1219507,6.93081335,6.099682336
-0.49804368,-0.462960949,-0.785141072,-0.487833823,-0.252101239,-0.059938138,-1.195451937,2.011664014,0.618520556,-0.926368474,0.00627623,-0.032675727,0.806104798,-0.409161068,-0.38381165,-0.115631763,-0.110464979,0.097433117,0.465455595,-0.386789054,0.298297807,-0.332467019,0.410348324,1.45463223,-0.290440453,-0.984249333,-0.916323035,-0.397084669,0.254202795,-0.958458115,-0.189991221,-0.470812118,-0.370972618,0.549526263,0.085255488,-0.309057206,0.449976436,-0.051987931,-0.215372095,0.561280233,VCr,mp-1216394,4.76,5.41
-0.487047678,-0.4526426,-0.284229718,-0.609890999,-0.34936954,-0.303192618,-0.758813505,1.502539513,0.922667052,0.320428875,0.001077919,-0.386502944,-1.758743361,-0.080148937,0.254883675,-0.001472649,0.25237946,0.121475103,0.745713113,-0.717699674,0.011419519,-0.738590572,0.104577782,0.537705534,0.146170492,-0.682169139,-0.272240613,-0.747005479,0.007394711,-0.580288907,-0.080530611,0.132694391,0.507491312,0.872019688,-0.103047035,-0.040505338,0.708778566,0.253019545,-0.775401865,0.114362368,CoMo,mp-1226002,5.39,5.63
-0.365361031,-0.353735796,0.047136804,-0.64093319,-0.125573079,0.529712181,0.963456252,3.208568311,-0.018711944,-1.061771568,-0.032270297,-0.222691337,0.974264883,-0.373705232,0.150096603,-0.051962194,0.108986722,0.125331818,0.126494275,-0.699105487,0.016830612,-1.245396174,-0.252669254,0.904375225,0.145344592,-0.955379964,-0.917575971,-0.706976995,-0.333827185,0.148953348,0.048830319,-0.62316984,-0.288054791,-0.027930674,0.106221142,0.068358436,0.543609536,0.1944995,-0.816396195,0.152480208,Re3Mo,mp-1219135,7.61,6.21
-0.370590707,-0.365319446,-0.45179627,-0.615846096,0.101103642,0.533620771,0.654640515,3.150445781,0.383069415,-0.996065719,0.00671699,-0.129932623,0.947581253,-0.31978576,0.548744959,0.154026601,0.196691221,-0.012312435,0.076177321,-0.574600296,-0.116578233,-1.09845369,-0.059956855,1.024482102,0.059156226,-0.616203005,-0.53590424,-0.875885403,-0.213760022,0.207900786,0.718261455,-0.467796511,0.19390409,0.740793213,0.164631154,-1.147224221,0.862955777,-0.223561003,-1.061499832,0.429396835,ReMo3,mp-1219493,7.07,5.43
-0.374794266,-0.615286093,0.165169777,-0.855061259,0.047000693,-0.008669932,0.787325957,1.936143031,1.073827076,-1.006820394,-0.1519051,0.267984155,0.964479266,0.053765227,-0.214138587,-0.151770283,0.554067401,0.285273337,0.166184402,-0.617811047,-0.24638577,-1.330959103,-0.289835778,1.090159619,-0.424444382,0.450634285,0.13712276,-1.062183612,-0.346516611,0.7117326,0.368247269,-0.793857249,0.313857693,-0.086955298,0.053439079,-0.343100662,0.786168385,-0.121958523,-0.668756395,1.525711446,IrRh3,mp-1184794,6.064792975,4.303636114
