训练集mae,测试集mae,整体mae,训练集mse,测试集mse,整体mse,训练集r2,测试集r2,整体r2
0.09426517010895763,0.4494620069823065,0.13059211933464102,0.017607697705975686,0.39183823770295156,0.05588127566021186,0.9942590604045434,0.8169873191277042,0.9811996148205986
0.11394453436698855,0.385490890363469,0.14171632077571952,0.025231102329564256,0.2665018217704238,0.049906516817833986,0.9914533225289563,0.9137396929549519,0.9832097294120005
0.1580217145523596,0.446556789362304,0.187530983567013,0.04585110380364116,0.3881920867479916,0.08086324978658609,0.9840781890628754,0.8943715253052337,0.9727948185705358
0.11274822163893529,0.41668382561170175,0.14383254477251367,0.02597202406256937,0.3354855287661498,0.05762681431634464,0.991185437764986,0.8950806346881744,0.9806123555160621
0.13828759813707212,0.3259413123185999,0.15747945526927382,0.03338764942798745,0.16025705123611725,0.04636292915836437,0.98864547233045,0.9506758538951563,0.9844019143098559
0.11842804040181577,0.6025126782181445,0.1679366965421221,0.029243178838443403,0.68900956535269,0.09671928655012772,0.990380713982319,0.7055673024369074,0.9674603018643329
0.22673925839878356,0.4602742412299391,0.25062351800651533,0.09670577542588636,0.41467529684991944,0.1292253855715261,0.9677021468229297,0.850226638588606,0.9565241309365603
0.1648295364140559,0.38387119563450467,0.1872315242888745,0.04883764626516851,0.3012432617581026,0.07465185694058224,0.9835162775788863,0.8915254685864167,0.974884544988299
0.19574549726211424,0.630859176897366,0.24024575995208314,0.06859734123996279,0.7339557280718108,0.13664535807503816,0.97608322397528,0.8066073556455049,0.9540277967094246
0.1628778096968475,0.49444019948416656,0.19678759956145966,0.05271958444690726,0.49805530695703454,0.09826528333998845,0.9825480261302019,0.8034284367782473,0.9669401753140331
