Seed,MAE,Param
67,-0.35606567914278653,"{'alpha': 1.0810998557865645, 'length_scale': 0.5468679929577988}"
68,-0.2137377742177029,"{'alpha': 0.5628907680381501, 'length_scale': 137.3412525609288}"
69,-0.20282513466352015,"{'alpha': 0.8517007914265344, 'length_scale': 372.55024578538234}"
70,-0.5582086835269464,"{'alpha': 0.2984984082793329, 'length_scale': 1.1694576415015974}"
71,-0.3559856910847077,"{'alpha': 0.18903396876854472, 'length_scale': 0.05247332418121065}"
72,-0.27860026353021383,"{'alpha': 1.0354930030057696, 'length_scale': 3.2909878431563677}"
73,-0.1069524752837625,"{'alpha': 2.08021364829014, 'length_scale': 3875.390776689241}"
74,-0.23665983610165264,"{'alpha': 1.362057553862253, 'length_scale': 0.5848059146667177}"
75,-0.24805833881717287,"{'alpha': 1.1498132552758462, 'length_scale': 15.061794027995694}"
76,-0.30723590195693584,"{'alpha': 0.520988481948802, 'length_scale': 46.29798391029127}"
77,-0.47259484216364633,"{'alpha': 2.09910144595826, 'length_scale': 0.8654557348773634}"
78,-0.3583756589325404,"{'alpha': 0.8124681445553156, 'length_scale': 0.36728022640311403}"
79,-0.20101416616936196,"{'alpha': 1.1638175391192955, 'length_scale': 1.216169272690331}"
80,-0.49270796636041925,"{'alpha': 0.6878714298045852, 'length_scale': 1853.5069478407895}"
81,-0.24710009949638878,"{'alpha': 2.064917270847138, 'length_scale': 0.19259262321431087}"
82,-0.3441649470769794,"{'alpha': 1.0126450160168379, 'length_scale': 12271.602969370155}"
83,-0.5327160207102878,"{'alpha': 1.028910884549649, 'length_scale': 34.22959412121328}"
84,-0.15614332596589398,"{'alpha': 2.00447844481347, 'length_scale': 19.947791437283357}"
85,-0.22264476554870005,"{'alpha': 1.1250777457756482, 'length_scale': 909.8682867879036}"
86,-0.2835325950684554,"{'alpha': 0.8948614518588199, 'length_scale': 11.868221920541163}"
87,-0.2286031838631113,"{'alpha': 1.2740396735498056, 'length_scale': 12.121380830822714}"
88,-0.25104641998668253,"{'alpha': 1.3346376009077636, 'length_scale': 19532.49196378104}"
89,-0.3882943454790455,"{'alpha': 1.1336908308191243, 'length_scale': 0.24433733869922394}"
90,-0.3466113463660401,"{'alpha': 0.31814302936627714, 'length_scale': 0.08315179307012795}"
91,-0.4793238092987291,"{'alpha': 0.6490110331802176, 'length_scale': 0.09744478485075082}"
92,-0.6049766458836181,"{'alpha': 0.7983344101698852, 'length_scale': 21155.940558359383}"
93,-0.513081563783855,"{'alpha': 0.8477833782490611, 'length_scale': 0.07254657736451234}"
94,-0.11199253091242489,"{'alpha': 3.161922348794768, 'length_scale': 0.060050376281659455}"
95,-0.2780300735677209,"{'alpha': 1.6907119462637994, 'length_scale': 0.36803651187642594}"
96,-0.30106658350859605,"{'alpha': 0.8138708073159112, 'length_scale': 0.49738273948266204}"
97,-0.19663058308171721,"{'alpha': 1.1807465143883475, 'length_scale': 7435.023134636231}"
98,-0.3052926455326853,"{'alpha': 1.535875851973761, 'length_scale': 0.07100282049537578}"
99,7.2063398603994244e-06,"{'alpha': 112.86712067193795, 'length_scale': 0.22563797708047764}"
100,-0.39956046052860816,"{'alpha': 0.7118385780750459, 'length_scale': 654.7967293678777}"
101,-0.20047888019031235,"{'alpha': 1.7868778224107749, 'length_scale': 0.5397328273910965}"
102,-0.4932539868266038,"{'alpha': 0.3321883688368636, 'length_scale': 34020.1572335804}"
103,-0.05181009494104194,"{'alpha': 3.456558848698759, 'length_scale': 9102.393603053652}"
104,-0.23657830683610237,"{'alpha': 1.0144824591291488, 'length_scale': 0.08955855246532922}"
105,-0.30711220856872234,"{'alpha': 0.23084910880943746, 'length_scale': 0.14510414317440767}"
106,-0.5520909318977987,"{'alpha': 0.9387232112730113, 'length_scale': 0.4155013184291728}"
107,-0.40854763608152267,"{'alpha': 1.1470956680613003, 'length_scale': 14002.363334190393}"
108,-0.5813303167760593,"{'alpha': 1.1301931717030107, 'length_scale': 9533.520827525741}"
109,-0.3005959171753054,"{'alpha': 0.7804440715484158, 'length_scale': 43.13321762317514}"
110,-0.31038761494161116,"{'alpha': 0.6820212693765397, 'length_scale': 2.2902616794367416}"
111,-0.2233232510972032,"{'alpha': 1.63353932259796, 'length_scale': 359.37868606138727}"
112,-0.32723966240350877,"{'alpha': 1.019551466794598, 'length_scale': 8.484820383085307}"
113,-0.162591871974046,"{'alpha': 1.4208009607441625, 'length_scale': 0.07239137199618251}"
114,-0.5938940847636205,"{'alpha': 0.39125465512277285, 'length_scale': 2780.680350106934}"
115,-0.3047110178018877,"{'alpha': 0.9501136806828705, 'length_scale': 0.17942634937399599}"
116,-0.35520976335856647,"{'alpha': 1.0476083833581846, 'length_scale': 3.055914487499141}"
117,-0.1555185842676018,"{'alpha': 1.5996562672251744, 'length_scale': 155.33647514016658}"
118,-0.31597676392647733,"{'alpha': 0.779048324272488, 'length_scale': 0.14037817136916492}"
119,-0.23501877239939106,"{'alpha': 0.922877516735277, 'length_scale': 33.56282250213905}"
120,-0.1761114703638197,"{'alpha': 0.7378995684213049, 'length_scale': 12.835960961858223}"
121,0.0010226367691130722,"{'alpha': 53.93370996601205, 'length_scale': 6338.299756252058}"
122,-0.3931542965974182,"{'alpha': 0.3341088767410095, 'length_scale': 31.177128072793515}"
123,-0.11385345317146456,"{'alpha': 1.3557968152842272, 'length_scale': 5709.427713944344}"
