训练集mae,测试集mae,整体mae,训练集mse,测试集mse,整体mse,训练集r2,测试集r2,整体r2
0.19684160159096908,3.6760314329722217,0.55266783434587,0.047592199543865774,15.654251289614864,1.643727788301127,0.9844826991376888,-6.311503115050455,0.44699337685038154
0.17075508220845545,0.2286303128721729,0.176674139889972,0.05204575691038896,0.1168747341867506,0.058675993222744124,0.9823702392293727,0.962170425741246,0.9802593756076872
0.11768035905510563,0.24572859082138138,0.13077620094029294,0.02519189116299101,0.1423253780230346,0.03717145231913183,0.991252107474588,0.9612727484558726,0.9874942435901654
0.1337372984264651,0.340807751814144,0.15491495843202316,0.032756321852091055,0.20974430315093212,0.05085736539401798,0.9888829366221201,0.9344048035535196,0.9828898312123201
0.1529618888857236,0.29200980946613253,0.16718269894508359,0.04420333366442462,0.13800660090190767,0.05379684963189447,0.9849672563424505,0.9575241295542792,0.9819008875053638
0.22088733963343948,0.2692560675679508,0.2258341413540145,0.08709188558056329,0.11588249308494697,0.09003637952987525,0.9713518916036153,0.9504802302390791,0.9697086618850103
0.12712666734853548,0.24316143299622756,0.1389938592897767,0.030188417477156074,0.10223699202213705,0.037557021691983675,0.9899176541314998,0.9630738120354267,0.9873645247776051
0.14925344064735072,0.2915467680224711,0.1638061673107153,0.04157163913039619,0.14889884102576117,0.05254828477878579,0.9859687062661557,0.946383092806687,0.9823209477112659
0.11894415190435532,0.2776258053987694,0.13517295737537494,0.02568139348106974,0.1651342792200126,0.039943620431643435,0.9910460649817193,0.9564881726370188,0.9865615907886406
0.15001097837737123,0.2570735817782935,0.1609605628161019,0.040303802031163356,0.1245763860311077,0.048922589031157655,0.986658071999605,0.9508324184069704,0.9835407565970402
