Seed,MAE,Param
88,-0.38959195824770443,"{'n_estimators': 57, 'max_depth': 18}"
89,-0.8042538791260766,"{'n_estimators': 23, 'max_depth': 14}"
90,-0.2752673500849495,"{'n_estimators': 11, 'max_depth': 47}"
91,-0.6038384699468593,"{'n_estimators': 5, 'max_depth': 14}"
92,-0.4108043200906122,"{'n_estimators': 47, 'max_depth': 46}"
93,-0.573355038961519,"{'n_estimators': 16, 'max_depth': 49}"
94,-0.5825118048395145,"{'n_estimators': 27, 'max_depth': 22}"
95,-0.4399442547249558,"{'n_estimators': 85, 'max_depth': 5}"
96,-0.5132235668865239,"{'n_estimators': 5, 'max_depth': 12}"
97,-0.4849001029551454,"{'n_estimators': 20, 'max_depth': 11}"
98,-0.2724018784072537,"{'n_estimators': 61, 'max_depth': 15}"
99,-0.34249683533089903,"{'n_estimators': 48, 'max_depth': 48}"
100,-0.5929026144947608,"{'n_estimators': 67, 'max_depth': 5}"
101,-0.49280142742877897,"{'n_estimators': 8, 'max_depth': 5}"
102,-0.45112495048114243,"{'n_estimators': 13, 'max_depth': 12}"
103,-0.10781294335270664,"{'n_estimators': 18, 'max_depth': 5}"
104,-0.6119893005702381,"{'n_estimators': 13, 'max_depth': 44}"
105,-0.5532143052268588,"{'n_estimators': 10, 'max_depth': 12}"
106,-0.5266932671133464,"{'n_estimators': 33, 'max_depth': 16}"
107,-0.6335961052102793,"{'n_estimators': 78, 'max_depth': 10}"
108,-0.5967998317183012,"{'n_estimators': 73, 'max_depth': 15}"
109,-0.5430133652599793,"{'n_estimators': 62, 'max_depth': 15}"
110,-0.39833743321038184,"{'n_estimators': 88, 'max_depth': 9}"
111,-0.3338380361660621,"{'n_estimators': 52, 'max_depth': 46}"
112,-0.41823694551749857,"{'n_estimators': 22, 'max_depth': 17}"
113,-0.6901072371839716,"{'n_estimators': 89, 'max_depth': 16}"
114,-0.7117146909892791,"{'n_estimators': 40, 'max_depth': 45}"
115,-0.6421826601817999,"{'n_estimators': 40, 'max_depth': 24}"
116,-0.6387906947972297,"{'n_estimators': 99, 'max_depth': 5}"
117,-0.3403647245584651,"{'n_estimators': 52, 'max_depth': 12}"
118,-0.7164321721558365,"{'n_estimators': 99, 'max_depth': 5}"
119,-0.5886845759847579,"{'n_estimators': 77, 'max_depth': 17}"
120,-0.5865634134050428,"{'n_estimators': 6, 'max_depth': 7}"
121,-0.3466043624090772,"{'n_estimators': 5, 'max_depth': 15}"
122,-0.5344553554934519,"{'n_estimators': 55, 'max_depth': 45}"
123,-0.4433435548574649,"{'n_estimators': 98, 'max_depth': 14}"
124,-0.45348288407569914,"{'n_estimators': 84, 'max_depth': 15}"
125,-0.6403369308973861,"{'n_estimators': 96, 'max_depth': 5}"
126,-0.6429002987592596,"{'n_estimators': 22, 'max_depth': 28}"
127,-0.5618425960270614,"{'n_estimators': 19, 'max_depth': 11}"
128,-0.3702011488970367,"{'n_estimators': 99, 'max_depth': 37}"
129,-0.6920138560990001,"{'n_estimators': 68, 'max_depth': 13}"
130,-0.38912895475559606,"{'n_estimators': 82, 'max_depth': 12}"
131,-0.6659844348616268,"{'n_estimators': 6, 'max_depth': 19}"
132,-0.6706086654739937,"{'n_estimators': 34, 'max_depth': 20}"
133,-0.6493651625272937,"{'n_estimators': 60, 'max_depth': 12}"
134,-0.38492396139271745,"{'n_estimators': 13, 'max_depth': 17}"
135,-0.7605988546837684,"{'n_estimators': 7, 'max_depth': 6}"
136,-0.39817247661828137,"{'n_estimators': 100, 'max_depth': 6}"
137,-0.6565975216396314,"{'n_estimators': 36, 'max_depth': 10}"
138,-0.7371768742891895,"{'n_estimators': 95, 'max_depth': 50}"
139,-0.440166279789471,"{'n_estimators': 62, 'max_depth': 19}"
140,-0.8007017809770041,"{'n_estimators': 63, 'max_depth': 12}"
141,-0.49276798644079856,"{'n_estimators': 46, 'max_depth': 13}"
142,-0.48413384952283367,"{'n_estimators': 10, 'max_depth': 5}"
143,-0.7211168108526698,"{'n_estimators': 5, 'max_depth': 50}"
144,-0.24694475468714816,"{'n_estimators': 59, 'max_depth': 16}"
145,-0.1762315352637066,"{'n_estimators': 15, 'max_depth': 41}"
146,-0.6165854967734297,"{'n_estimators': 54, 'max_depth': 7}"
147,-0.5767770503800683,"{'n_estimators': 5, 'max_depth': 22}"
148,-0.4780478867589837,"{'n_estimators': 5, 'max_depth': 38}"
149,-0.6368670265219971,"{'n_estimators': 36, 'max_depth': 14}"
150,-0.5677916958068787,"{'n_estimators': 85, 'max_depth': 13}"
151,-0.6221071530182021,"{'n_estimators': 22, 'max_depth': 8}"
152,-0.5229614870656312,"{'n_estimators': 17, 'max_depth': 10}"
153,-0.5900890119683564,"{'n_estimators': 16, 'max_depth': 45}"
154,-0.6221361832212517,"{'n_estimators': 13, 'max_depth': 17}"
155,-0.34076912425123385,"{'n_estimators': 62, 'max_depth': 40}"
156,-0.3681358615640812,"{'n_estimators': 80, 'max_depth': 5}"
157,-0.5099288370256896,"{'n_estimators': 17, 'max_depth': 6}"
158,-0.5494814835852635,"{'n_estimators': 17, 'max_depth': 9}"
159,-0.5195149032466351,"{'n_estimators': 100, 'max_depth': 16}"
160,-0.6316167546711426,"{'n_estimators': 100, 'max_depth': 22}"
161,-0.3957286521463702,"{'n_estimators': 82, 'max_depth': 28}"
162,-0.5133849202718404,"{'n_estimators': 99, 'max_depth': 43}"
163,-0.6715173433819477,"{'n_estimators': 97, 'max_depth': 18}"
