material_id,formula_pretty,band_gap,bulk_modulus,cbm,composition,density,density_atomic,dos_energy_down,dos_energy_up,e_electronic,e_ij_max,e_ionic,e_total,efermi,energy_above_hull,energy_per_atom,equilibrium_reaction_energy_per_atom,es_source_calc_id,formation_energy_per_atom,grain_boundaries,has_reconstructed,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,n,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,shape_factor,shear_modulus,surface_anisotropy,symmetry,task_ids,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,vbm,volume,weighted_surface_energy,weighted_surface_energy_EV_PER_ANG2,weighted_work_function
mp-1884,Ca5Ge3,0.0,,,Ca10 Ge6,3.1600755965426575,27.476403480244617,,,,,,,3.24216008,0.0018216525000003259,-10.32323728125,,,-0.7223121262500012,,,,False,False,True,False,,2,16,0.0,0.0,NM,,,,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mcm' number=140 point_group='4/mmm' symprec=0.1 version='2.0.2',"[MPID(mp-2048125), MPID(mp-1676628), MPID(mp-920991), MPID(mp-942830), MPID(mp-942456), MPID(mp-1603998), MPID(mp-1543748), MPID(mp-1884), MPID(mp-1381485), MPID(mp-1820411), MPID(mp-2182805), MPID(mp-2447381), MPID(mp-2021776)]",False,2e-07,1e-07,4.5493581461589145e-10,-10.32323728125,,,439.62245568391387,,,
mp-1885,AlIr,0.0,"{'voigt': 229.406, 'reuss': 229.406, 'vrh': 229.406}",,Al1 Ir1,13.554700780623982,13.426623817739934,,,,,,,10.70749902,0.0,-30.61632865,-0.5595839716666688,,-1.0706027599999999,,,0.278,False,False,True,True,,2,2,0.0,0.0,NM,,"{'voigt': 119.538, 'reuss': 119.232, 'vrh': 119.385}",,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='2.0.2',"[MPID(mp-1538237), MPID(mp-1592524), MPID(mp-1885), MPID(mp-1253280), MPID(mp-2411529), MPID(mp-2293369), MPID(mp-2727006), MPID(mp-2296860), MPID(mp-911542), MPID(mp-1256112), MPID(mp-2191403), MPID(mp-927877), MPID(mp-1686443), MPID(mp-1440077), MPID(mp-2726977), MPID(mp-2245878), MPID(mp-1945583), MPID(mp-2411511), MPID(mp-927459), MPID(mp-2411459), MPID(mp-2727019), MPID(mp-2320613), MPID(mp-1793312), MPID(mp-1948899), MPID(mp-2727009), MPID(mp-1263709)]",False,5e-07,5e-07,1.8619721785136138e-08,-30.61632865,0.013,,26.853247635479867,,,
mp-1903,BaAl4,0.0,"{'voigt': 51.06, 'reuss': 50.415, 'vrh': 50.737}",,Ba1 Al4,3.444669667803434,23.64536999844021,,,,,,,5.12808595,0.0,-3.6214371920000006,-0.09981771390476224,,-0.2411815400000009,,,0.256,False,False,True,True,,2,5,0.0,0.0,NM,,"{'voigt': 29.958, 'reuss': 29.292, 'vrh': 29.625}",,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='2.0.2',"[MPID(mp-1954694), MPID(mp-2727012), MPID(mp-2727052), MPID(mp-2298930), MPID(mp-2292341), MPID(mp-1538254), MPID(mp-1252130), MPID(mp-913567), MPID(mp-1259250), MPID(mp-1786511), MPID(mp-1958361), MPID(mp-1595326), MPID(mp-2726989), MPID(mp-930450), MPID(mp-2726944), MPID(mp-1300135), MPID(mp-2411544), MPID(mp-2411518), MPID(mp-1253674), MPID(mp-2417148), MPID(mp-2727007), MPID(mp-1903), MPID(mp-2194702), MPID(mp-1671111), MPID(mp-2299339), MPID(mp-2411538), MPID(mp-2727045), MPID(mp-929932), MPID(mp-2317357), MPID(mp-2417008), MPID(mp-2726912), MPID(mp-2411530)]",False,1e-07,1e-07,8.458315518564234e-10,-10.940881915999999,0.127,,118.22684999220105,,,
mp-1935,BaMg2,0.0,"{'voigt': 21.706, 'reuss': 21.696, 'vrh': 21.701}",,Ba4 Mg8,3.0522319012094505,33.71911248552896,,,,,,,2.52300495,0.0,-1.7785000975000003,-0.0059036014215689825,,-0.051861774166666784,,,0.243,False,False,True,True,,2,12,0.0,0.0,NM,,"{'voigt': 13.642, 'reuss': 13.32, 'vrh': 13.481}",,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='2.0.2',"[MPID(mp-2417054), MPID(mp-2419930), MPID(mp-929803), MPID(mp-1545961), MPID(mp-2419013), MPID(mp-1414478), MPID(mp-1821271), MPID(mp-2419942), MPID(mp-1935), MPID(mp-2277571), MPID(mp-2276779), MPID(mp-2419855), MPID(mp-2027431), MPID(mp-2419851), MPID(mp-2419146), MPID(mp-2050502), MPID(mp-2419183), MPID(mp-2418967), MPID(mp-2419873), MPID(mp-913358), MPID(mp-2425671), MPID(mp-2276540), MPID(mp-2419009), MPID(mp-2419174), MPID(mp-930365), MPID(mp-1708286), MPID(mp-2419070), MPID(mp-2418946), MPID(mp-2418975), MPID(mp-2425548), MPID(mp-2503889), MPID(mp-1103365), MPID(mp-2418912)]",False,4.5e-06,1.125e-06,1.1121289154954378e-08,-11.671030465,0.121,,404.62934982634755,,,
mp-1952,Ba7Al13,0.0,,,Ba7 Al13,3.956883971440272,27.53061045645726,,,,,,,4.24936631,0.024810519750002147,-3.323717006999999,,,-0.217451488499999,,,,False,False,True,False,,2,20,0.0,0.0,NM,,,,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='2.0.2',"[MPID(mp-1674885), MPID(mp-1253137), MPID(mp-1877507), MPID(mp-1416185), MPID(mp-991732), MPID(mp-2685546), MPID(mp-2034745), MPID(mp-2151485), MPID(mp-992606), MPID(mp-1952), MPID(mp-1257529), MPID(mp-1584228), MPID(mp-2035725), MPID(mp-992653), MPID(mp-1257018)]",False,9e-07,9e-07,1.6345442129288246e-09,-13.8696081165,,,550.6122091291452,,,
mp-1981,Ba2Sn,0.0,,,Ba8 Sn4,4.848399444496157,44.90803593170269,,,,,,,3.06096002,0.0,-3.223653363333336,-0.13938354166666933,,-0.6078127850000025,,,,False,False,True,True,,2,12,0.0,0.0,NM,,,,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='2.0.2',"[MPID(mp-2435784), MPID(mp-1437361), MPID(mp-2275855), MPID(mp-1981), MPID(mp-919309), MPID(mp-2049114), MPID(mp-2172474), MPID(mp-918295), MPID(mp-1861836), MPID(mp-2275808), MPID(mp-1543972), MPID(mp-2273943), MPID(mp-1637664), MPID(mp-1705514), MPID(mp-904847), MPID(mp-2026157)]",False,0.0,0.0,0.0,-26.61823620583333,,,538.8964311804323,,,
mp-1982,Al21Pt8,0.0,"{'voigt': 133.252, 'reuss': 132.069, 'vrh': 132.661}",,Al42 Pt16,7.889845410697907,15.43860808610803,,,,,,,8.39868732,0.0,-19.906050873793102,-0.008521244482757595,,-0.8275750072413781,,,0.295,False,False,True,True,,2,58,0.0,0.0,NM,,"{'voigt': 63.252, 'reuss': 62.907, 'vrh': 63.079}",,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4_1/a' number=88 point_group='4/m' symprec=0.1 version='2.0.2',"[MPID(mp-2422254), MPID(mp-1896154), MPID(mp-2419107), MPID(mp-2422107), MPID(mp-1268120), MPID(mp-940264), MPID(mp-2047336), MPID(mp-2503906), MPID(mp-2417017), MPID(mp-2419080), MPID(mp-2419059), MPID(mp-1359068), MPID(mp-932275), MPID(mp-1259723), MPID(mp-1544578), MPID(mp-940689), MPID(mp-2418981), MPID(mp-2046585), MPID(mp-2419147), MPID(mp-2418926), MPID(mp-1982), MPID(mp-2417103), MPID(mp-2419913), MPID(mp-1264447), MPID(mp-2422191), MPID(mp-2419891), MPID(mp-2503904)]",False,1e-07,5e-08,1.1167703211443632e-10,-19.906050873793102,0.036,,895.4392689942657,,,
mp-2018,AlFe3,0.0,"{'voigt': 171.541, 'reuss': 171.541, 'vrh': 171.541}",,Al1 Fe3,6.710751133839217,12.033016312300548,,,,,,,6.4341514,0.035353807499999945,-7.4524492325,,,-0.16353936749999942,,,0.29,False,True,True,False,,2,4,3.0,2.0,FM,,"{'voigt': 101.249, 'reuss': 66.38, 'vrh': 83.814}",,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='2.0.2',"[MPID(mp-2726940), MPID(mp-2411492), MPID(mp-1546880), MPID(mp-1251345), MPID(mp-2727062), MPID(mp-2411471), MPID(mp-2187270), MPID(mp-993570), MPID(mp-991658), MPID(mp-1791908), MPID(mp-2292654), MPID(mp-1254885), MPID(mp-1253385), MPID(mp-2475484), MPID(mp-1950666), MPID(mp-2726970), MPID(mp-2018), MPID(mp-1439286), MPID(mp-2294365), MPID(mp-2291939), MPID(mp-1688308), MPID(mp-2475234), MPID(mp-1975588), MPID(mp-2318773), MPID(mp-1593826)]",False,7.3221923,7.3221923,0.15212711655088118,-12.635996715,2.626,,48.13206524920219,,,
mp-2028,Be2Nb,0.0,"{'voigt': 156.483, 'reuss': 156.483, 'vrh': 156.483}",,Be4 Nb2,5.246897367565542,11.70246091450111,,,,,,,4.0798316,0.021783169523808432,-6.050024823333334,,,-0.1899812333333332,,,0.229,False,False,True,False,,2,6,0.0,0.0,NM,,"{'voigt': 103.427, 'reuss': 103.426, 'vrh': 103.427}",,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fd-3m' number=227 point_group='m-3m' symprec=0.1 version='2.0.2',"[MPID(mp-2723418), MPID(mp-1800202), MPID(mp-2294015), MPID(mp-2723372), MPID(mp-928711), MPID(mp-2638950), MPID(mp-2723407), MPID(mp-2638796), MPID(mp-2295670), MPID(mp-2025314), MPID(mp-928186), MPID(mp-1701582), MPID(mp-1441082), MPID(mp-2027114), MPID(mp-2297304), MPID(mp-2687887), MPID(mp-2488799), MPID(mp-912114), MPID(mp-2188680), MPID(mp-1592566), MPID(mp-2488753), MPID(mp-2028)]",False,5e-07,2.5e-07,7.121009328052597e-09,-11.350414103333334,0.0,,70.21476548700666,,,
mp-2031,Be2Cu,0.0,"{'voigt': 135.017, 'reuss': 135.017, 'vrh': 135.017}",,Be4 Cu2,5.1093482422853205,8.836794158191724,,,,,,,5.98688926,0.0,-3.999718333333334,-0.14037420000000012,,-0.1403742000000007,,,0.144,False,False,True,True,,2,6,0.0,0.0,NM,,"{'voigt': 126.178, 'reuss': 125.894, 'vrh': 126.036}",,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fd-3m' number=227 point_group='m-3m' symprec=0.1 version='2.0.2',"[MPID(mp-1536718), MPID(mp-1943625), MPID(mp-934559), MPID(mp-2706470), MPID(mp-2281989), MPID(mp-1958791), MPID(mp-2282674), MPID(mp-1794716), MPID(mp-1593057), MPID(mp-2127859), MPID(mp-2723392), MPID(mp-2638906), MPID(mp-941072), MPID(mp-2280118), MPID(mp-1438165), MPID(mp-2488707), MPID(mp-941383), MPID(mp-2488739), MPID(mp-2432146), MPID(mp-1700725), MPID(mp-2488728), MPID(mp-2031), MPID(mp-2638762)]",False,5e-07,2.5e-07,9.430267565538254e-09,-6.654921956666667,0.011,,53.02076494915034,,,
